ILL	频率
G93.901	5
E26.801	5
723.301	5
429.901	5
604.001	5
D23.301	5
K25.401	5
959.001	5
Y83.805	5
S99.801	5
S06.804	5
197.603	5
N83.803	5
570  05	5
A18.008+M01.102*	5
Q65.201	5
I72.101	5
478.513	5
J15.903	5
M96500/3	5
I87.806	5
I67.101	5
921.309	5
J86.001	5
K31.823	5
T75.302	5
O99.601	5
949.101	5
L05.904	5
I70.003	5
O03.904	5
I51.402	5
K76.812	5
253.203	5
K82.403	5
560.001	5
S30.102	5
863.403	5
162.301	5
K28.901	5
017.210	5
E924.102	5
C79.506	5
S01.504	5
802.202	5
S39.901	5
M90640/3	5
O08.102	5
L03.301	5
745.301	5
Q24.201	5
M10.994	5
707.901	5
M81101/0	5
698.201	5
782.104	5
417.101	5
041.802	5
B08.101	5
L40.301	5
199.101	5
H40.206	5
N13.901	5
Q76.403	5
N71.901	5
053.101+351.101*	5
577.202	5
Q55.002	5
K22.001	5
I51.705	5
J34.102	5
F06.701	5
746.201	5
629.802	5
X48.903	5
753.203	5
608.402	5
813.501	5
D44.501	5
370.003	5
M80010/1	5
Q66.901	5
746.906	5
D14.009	5
344.901	5
S05.102	5
078.601	5
634.901	5
L53.903	5
J02.905	5
277.802	5
458.001	5
048  01+323.402*	5
016.901	5
M62.591	5
V03.101	5
S30.005	5
K74.605	5
C77.801	5
M89.983	5
353.002	5
360.401	5
527.206	5
B35.904	5
S81.002	5
871.101	5
574.301	5
905.101	5
O34.102	5
508.001	5
159.101	5
D21.204	5
E03.903+G73.501*	5
T35.701	5
Z89.901	5
S01.502	5
Z94.101	5
M84410/3	5
K21.901	5
D14.101	5
P59.901	5
I15.001	5
M89.394	5
862.201	5
781.001	5
I71.003	5
L40.102	5
T20.002	5
453.801	5
250.504+344.605*	5
Q64.402	5
736.705	5
D61.904	5
H40.508	5
E870.901	5
376.801	5
Z51.010	5
K46.905	5
S12.102	5
K63.209	5
Z43.202	5
955.903	5
610.102	5
K63.802	5
L85.903	5
D32.003	5
921.102	5
E03.802	5
R20.802	5
H00.004	5
535.406	5
D12.301	5
K63.001	5
276.303	5
D75.804	5
112.804	5
920  08	5
627.202	5
S36.804	5
362.102	5
S05.001	5
D21.402	5
D16.303	5
K13.719	5
S33.201	5
N60.104	5
799.403	5
A18.402	5
E813.901	5
015.101	5
K22.811	5
389.101	5
213.403	5
A86  02	5
V15.101	5
M25.892	5
K51.401	5
425.401	5
755.901	5
569.830	5
Q25.701	5
M24.611	5
959.704	5
O00.201	5
940.902	5
K75.101	5
733.101	5
112.002	5
I05.801	5
197.602	5
C18.401	5
M96701/3	5
523.501	5
X78.901	5
I50.004	5
215.302	5
M24.871	5
198.812	5
X45.901	5
E928.801	5
K62.202	5
752.901	5
S64.002	4
K50.003	4
M84700/0	4
E919.801	4
869.101	4
727.101	4
239.502	4
S05.306	4
747.305	4
655.801	4
E878.801	4
I78.001	4
K65.801	4
440.201	4
D36.703	4
T78.302	4
M61.551	4
197.401	4
S92.711	4
M84.051	4
396  03	4
S72.111	4
E89.801	4
D30.201	4
P21.101	4
661.101	4
K74.609+I98.202*	4
F52.401	4
D48.116	4
X40.901	4
078.102	4
162.201	4
K27.905	4
122.801	4
C94.003	4
567.801	4
L72.901	4
812.403	4
621.302	4
D15.103	4
600  03	4
Z85.803	4
K92.207	4
471.801	4
I25.209	4
M87400/0	4
K74.615	4
E959  01	4
L42  01	4
C78.504	4
523.302	4
P91.801	4
727.406	4
F90.901	4
L81.101	4
N83.001	4
D61.002	4
T78.303	4
H35.006	4
V58.105	4
674.803	4
M84400/0	4
X95.991	4
569.905	4
161.001	4
800.003	4
I67.805	4
813.401	4
D42.101	4
K80.002	4
I82.806	4
V45.827	4
M94500/3	4
I97.814	4
789.101	4
839.603	4
Z51.105	4
E952.101	4
569.408	4
017.002	4
M81200/1	4
155.101	4
756.116	4
W44.904	4
314.901	4
682.402	4
I70.204	4
V58.109	4
D58.001	4
904.401	4
E853.901	4
S00.802	4
K12.101	4
I51.804	4
C57.401	4
K60.401	4
M60.081	4
E950.601	4
M24.901	4
531.101	4
T79.501	4
C17.101	4
355.201	4
682.902	4
903.001	4
N20.201	4
J98.003	4
478.402	4
I51.708	4
568.801	4
I22.901	4
I28.101	4
074.301	4
727.601	4
K04.004	4
R19.501	4
G93.405	4
975.701	4
S05.108	4
R94.001	4
J34.802	4
R94.602	4
K22.206	4
G93.811	4
451.902	4
Q32.401	4
N03.201	4
478.119	4
516.303	4
K12.001	4
K57.102	4
070.101+573.101*	4
E04.902	4
642.403	4
575.805	4
T92.302	4
537.805	4
170.703	4
621.201	4
G12.201	4
016.902	4
E14.409+G99.002*	4
756.001	4
414.101	4
I72.402	4
X59.881	4
C79.809	4
T87.501	4
120.201	4
K81.001	4
H15.001	4
854.005	4
H16.305	4
M96730/3	4
K63.303	4
780.206	4
434.902	4
373.301	4
G12.209	4
414.805	4
K82.903	4
I72.301	4
447.608	4
F07.205	4
G24.301	4
M23.391	4
516.302	4
624.804	4
A18.012+M01.106*	4
D68.901	4
577.007	4
300.201	4
D76.001	4
C79.507+M90.791*	4
623.701	4
I23.201	4
806.002	4
C22.302 M91240/3	4
348.103	4
959.703	4
I08.002	4
H10.804	4
412  07	4
S66.101	4
K02.401	4
M91000/0	4
112.301	4
S96.903	4
S06.903	4
577.005	4
394.903	4
D18.031	4
J20.905	4
S82.811	4
532.001	4
211.801	4
Z42.902	4
599.201	4
N76.202	4
J35.802	4
P12.001	4
S93.006	4
K27.904	4
290.401	4
Z89.452	4
528.507	4
K85  01	4
Z30.503	4
K56.602	4
F84.002	4
J45.001	4
X48.901	4
K62.810	4
G57.301	4
I89.808	4
718.203	4
K13.010	4
746.905	4
736.101	4
326  01	4
Z08.001	4
703.001	4
527.601	4
213.007	4
M85.661	4
644.001	4
599.102	4
S52.505	4
L57.802	4
N82.303	4
O69.301	4
K35.107	4
540.003	4
T17.902	4
Q22.401	4
M82620/3	4
G72.901	4
682.207	4
575.901	4
R58  03	4
M80900/1	4
G51.801	4
721.202	4
K76.802	4
727.805	4
M67.804	4
998.102	4
L92.801	4
I44.701	4
531.502	4
537.401	4
295.501	4
M89.994	4
H16.101	4
748.401	4
225.205	4
O72.002	4
M93800/3	4
127.004	4
375.501	4
A16.401	4
717.502	4
N28.806	4
H60.501	4
E916  05	4
E950.302	4
652.301	4
Z51.130	4
O73.002	4
921.311	4
I51.504	4
N80.004	4
H46  02	4
785.601	4
486  02	4
747.406	4
E88.901+H28.101*	4
M35.301	4
C91.001	4
F20.801	4
398.001	4
D69.202	4
M31.601	4
041.901	4
F06.914+E14.601*	4
D29.001	4
J70.901	4
568.802	4
164.101	4
R93.001	4
N18.805+G93.405*	4
I66.903	4
800.201	4
L03.201	4
759.201	4
876.002	4
727.402	4
J43.906	4
528.203	4
H11.102	4
E14.401+G63.201*	4
S91.304	4
225.206	4
H04.101	4
569.820	4
Y69  02	4
J98.301	4
M80810/2	4
839.202	4
G25.501	4
H90.503	4
O32.601	4
T82.801	4
S04.002	4
421.001	4
208.902 M98000/3	4
F05.901	4
A18.108+N51.101*	4
997.401	4
G54.201	4
282.901	4
211.501	4
D16.005	4
I88.001	4
Q24.811	4
G83.802	4
E44.101	4
Q60.201	4
948.101	4
O72.001	4
T86.001	4
239.301	4
M91610/1	4
Y43.308	4
M88231/1	4
I24.801	4
786.801	4
O62.001	4
705.801	4
276.203	4
D31.901	4
171.403	4
151.904	4
G97.805	4
864.101	4
M24.481	4
M16.101	4
945.301	4
790.701	4
Z98.891	4
H53.401	4
621.101	4
N28.826	4
476.102	4
V15.210	4
E83.303	4
G31.906	4
608.001	4
N83.808	4
J43.905	4
H54.002	4
A49.804	4
T81.016	4
623.601	4
B00.502+H19.102*	4
213.201	4
O35.824	4
854.002	4
555.002	4
I72.201	4
M89360/1	4
571.507	4
M24.171	4
614.002	4
863.202	4
S05.002	4
S01.505	4
S96.101	4
S48.001	4
H02.812	4
X41.909	4
K41.301	4
S56.701	4
Q63.001	4
N61  01	4
S05.304	4
195.004	4
335.102	4
555.901	4
D50.801	4
K13.001	4
A09  01	4
S00.001	4
Q24.804	4
582.201	4
744.404	4
G97.101	4
D23.502	4
S25.101	4
I99  02	4
E13.302+H36.002*	4
751.604	4
038.804	4
744.101	4
M97020/3	4
213.602	4
T88.703	4
239.006	4
K07.005	4
N70.905	4
D17.002	4
622.301	4
M87600/0	4
M85.061	4
616.403	4
523.001	4
Z94.802	4
614.801	4
B65.903+J99.812*	4
I74.201	4
200.802 M96120/3	4
J04.002	4
Q43.401	4
G93.804	4
I45.402	4
364.703	4
211.304	4
O82.201	4
873.604	4
364.403	4
229.803	4
300.302	4
K06.801	4
M85000/2	4
C49.101	4
196.104	4
J38.701	4
162.001	4
015.902+730.606*	4
C85.912	4
535.402	4
O36.101	4
C85.906 M95900/3	4
K62.303	4
C79.823	4
E23.604	4
N90.302	4
L58.901	4
Q81.201	4
J35.805	4
537.802	4
L98.402	4
I21.002	4
D18.026	4
348.001	4
802.803	4
221.201	4
E14.502+I79.201*	4
614.201	4
M43.601	4
F44.806	4
Q64.301	4
198.801	4
X51.302	4
G52.101	4
G31.909	4
O71.002	4
384.803	4
702  03	4
M86500/0	4
M85.591	4
576.801	4
L02.905	4
I51.303	4
J39.210	4
V54.005	4
L02.401	4
780.404	4
L65.905	4
T22.201	4
S86.002	4
K07.004	4
S36.403	4
887.003	4
S63.112	4
789.303	4
862.001	4
I38  06	4
G91.903	4
198.601	4
T31.001	4
664.101	4
M80700/2	4
M83800/0	4
S42.211	4
L94.202	4
G31.802	4
Q89.301	4
364.701	4
110.101	4
004.902	4
K91.840	4
Q66.803	4
K22.803	4
381.501	4
202.301	4
692.801	4
D76.202	4
M95.001	4
575.503	4
S52.001	4
H54.201	4
C76.101	4
K55.101	4
616.802	4
790.401	4
W34.904	4
281.001	4
H66.401	4
T02.001	4
I61.105	4
361.002	3
H35.307	3
228.008	3
M98230/3	3
I70.802	3
989.601	3
E879.901	3
K63.813	3
H10.401	3
Q23.803	3
478.210	3
478.211	3
171.902	3
I83.905	3
V15.202	3
M90400/0	3
D36.111	3
655.901	3
272.703	3
Q76.401	3
Y11.901	3
930.104	3
E55.001	3
M85900/1	3
255.102	3
J44.802	3
R55  03	3
Z88.001	3
157.101	3
160.201	3
558  12	3
P59.902	3
A49.801	3
I51.403	3
254.801	3
307.101	3
B02.302+H58.802*	3
M62.291	3
R25.201	3
I87.112	3
C76.302	3
181  01 M91000/3	3
C44.401	3
H02.302	3
527.102	3
S05.109	3
M77.992	3
N94.803	3
530.802	3
216.305	3
877.001	3
910.601	3
Q25.402	3
J36  03	3
E16.001	3
183.201	3
718.901	3
728.801	3
801.102	3
017.205	3
300.502	3
011.101	3
K29.901	3
I51.703	3
951.401	3
Z37.101	3
942.003	3
410  16	3
759.203	3
D36.122	3
K91.833	3
608.803	3
O23.401	3
853.002	3
571.802	3
Z94.601	3
E22.002	3
870.201	3
891.202	3
569.823	3
C43.502	3
B77.902	3
N97.102	3
N48.201	3
T21.301	3
289.304	3
D28.201	3
225.401	3
D18.049	3
442.803	3
E10.001	3
905.605	3
575.103	3
M89.991	3
207.003 M98410/3	3
G58.805	3
N70.902	3
G40.202	3
718.501	3
801.002	3
201.401 M96510/3	3
680.003	3
O32.901	3
D48.102	3
215.306	3
378.902	3
Z85.301	3
G81.902	3
T42.404	3
Z86.102	3
I33.005	3
037  01	3
195.501	3
307.801	3
C41.404	3
M25.021	3
D36.702	3
S05.501	3
C85.702	3
956.401	3
M21.851	3
E27.101	3
N10  01	3
C93.001	3
191.004	3
L43.901	3
148.901	3
993.204	3
A18.004+M01.003*	3
L40.801	3
B37.804	3
J34.005	3
D72.803	3
K61.002	3
Z93.401	3
I78.803	3
701.102	3
345.002	3
D18.111	3
575.502	3
244.902	3
998.801	3
S07.901	3
Q18.104	3
170.205	3
646.601	3
452  02	3
528.303	3
620.103	3
522.602	3
O14.102	3
H73.802	3
882.101	3
C38.001	3
277.803	3
I45.401	3
M24.291	3
996.901	3
682.302	3
M84500/0	3
Q89.001	3
Z94.803	3
D31.401	3
767.101	3
359.401	3
D16.102	3
S16  01	3
C94.102 M98420/3	3
B34.901	3
V15.206	3
D52.002	3
D13.502	3
624.001	3
C44.701	3
947.201	3
E957.901	3
I26.902	3
905.801	3
792.102	3
782.205	3
423.902	3
682.802	3
I74.806	3
D33.307	3
S61.801	3
D73.503	3
567.206	3
878.201	3
D68.202	3
S89.701	3
154.801	3
O35.001	3
C90.101 M98300/3	3
C67.701	3
T19.001	3
Q70.301	3
E950.602	3
O43.108	3
940.401	3
319  01	3
M81.191	3
199.001	3
M48.501	3
322.903	3
370.801	3
428.004	3
222.201	3
860.101	3
R41.001	3
M24.872	3
T87.602	3
O01.901	3
I74.402	3
M53.263	3
C34.001	3
Z51.134	3
D18.102	3
Q17.201	3
M96.002	3
528.906	3
812.501	3
Z85.501	3
746.814	3
410  20	3
T63.901	3
O43.103	3
759.802	3
T17.501	3
S69.701	3
J39.801	3
C78.804	3
040.002	3
H73.801	3
E28.801	3
141.001	3
298.903	3
211.701	3
289.001	3
686.911	3
754.201	3
994.601	3
K74.613	3
C77.301	3
M87110/0	3
Q67.501	3
E23.601	3
991.901	3
871.104	3
M92100/1	3
D17.701	3
614.212	3
B16.905	3
599.801	3
225.203	3
N83.805	3
M24.651	3
J34.809	3
G96.901	3
D21.601	3
C44.502	3
C04.902	3
E905.001	3
173.402	3
592.103	3
828.001	3
528.908	3
E22.102	3
N83.501	3
420.901	3
V54.009	3
V45.861	3
334.301	3
D69.505	3
F41.103	3
Q68.810	3
Q56.101	3
F51.002	3
642.401	3
533.101	3
S00.201	3
H04.501	3
200.106	3
L03.105	3
Z43.101	3
J84.106	3
Q52.102	3
B00.203	3
I77.203	3
M86500/3	3
I65.206	3
529.901	3
D33.102	3
959.111	3
Z93.404	3
C95.902	3
Z51.136	3
I50.909	3
348.402	3
205.102 M98800/3	3
M85100/3	3
216.202	3
576.803	3
S27.813	3
F10.201	3
191.902	3
J34.007	3
I25.402	3
C32.001	3
E32.001	3
M34.803+D77 02*	3
G51.805	3
L24.901	3
L02.102	3
348.903	3
K20  10	3
M82000/3	3
V54.007	3
527.902	3
K55.902	3
D36.106	3
D23.201	3
V42.701	3
T28.101	3
425.403	3
214  11	3
H40.207	3
229.808	3
B49  11	3
903.302	3
683  02	3
C85.011 M95920/3	3
C25.201	3
017.807	3
Q85.901	3
T79.802	3
P92.001	3
057.801	3
D72.804	3
H61.901	3
C91.002 M98210/3	3
K63.208	3
345.104	3
O90.102	3
Z98.878	3
615.901	3
K83.008	3
J84.108	3
L03.008	3
436  01	3
070.311+573.101*	3
S27.812	3
Q66.001	3
X64.901	3
Z85.202	3
553.201	3
C31.901	3
V54.006	3
N28.811	3
R14  01	3
C78.809	3
661.301	3
E20.001	3
A16.204	3
971.101	3
V58.120	3
D17.003	3
948.001	3
785.402	3
S81.801	3
750.801	3
N82.901	3
887.401	3
K80.406	3
733.205	3
621.401	3
S91.001	3
802.501	3
M86.951	3
H93.302	3
015.903+711.401*	3
871.110	3
I67.104	3
988.001	3
Z51.128	3
M89.382	3
D32.013	3
S06.904	3
S36.601	3
210.001	3
716.001	3
K55.004	3
698.202	3
X68.902	3
Z31.201	3
S43.401	3
T81.003	3
D17.501	3
E21.401	3
S13.104	3
197.806	3
833.101	3
V15.204	3
478.204	3
L04.301	3
212.101	3
478.125	3
O86.001	3
337.904	3
S62.712	3
562.002	3
Q55.601	3
D16.404	3
378.504	3
208.002 M98010/3	3
Z85.806	3
E939.101	3
C85.708  A	3
O03.101	3
D07.201	3
C79.827	3
560.906	3
S62.002	3
N99.811	3
J67.902	3
C34.101	3
H00.001	3
X61.912	3
M92620/0	3
583.902	3
R49.002	3
277.804	3
E44.001	3
427.101	3
H50.102	3
J98.410	3
D32.901	3
D33.202	3
Q04.302	3
N83.601	3
E906.001	3
729.001	3
E930.001	3
478.106	3
239.705	3
E925.902	3
M79.092	3
935.201	3
M84.061	3
I10  02	3
977.201	3
726.302	3
G50.003	3
536.808	3
J85.301	3
O34.801	3
316  03	3
Z31.002	3
524.001	3
117.502	3
G95.803	3
569.804	3
D68.206	3
D59.901	3
T81.806	3
610.105	3
426.203	3
G54.501	3
J39.203	3
958.201	3
Z93.403	3
R10.203	3
D16.804	3
D48.704	3
Q74.104	3
F52.201	3
T94.102	3
431  08	3
Z98.813	3
453.807	3
T70.101	3
M97050/3	3
225.213	3
R86.901	3
K75.803	3
V45.835	3
190.701	3
N76.401	3
A52.103+M14.602*	3
M92600/3	3
G95.807	3
C75.102	3
959.110	3
G56.102	3
D29.002	3
E866.702	3
225.217	3
J38.310	3
D12.401	3
752.403	3
878.402	3
N85.701	3
E11.401+G52.903*	3
225.210	3
146.201	3
T81.801	3
M35.201	3
213.001	3
C83.002	3
163.001	3
173.401	3
733.801	3
D36.107	3
V72.001	3
M31.403	3
H01.101	3
X26.904	3
Q21.801	3
170.304	3
574.302	3
969.102	3
333.901	3
G80.001	3
D16.301	3
383.801	3
C76.104	3
618.004	3
E65  01	3
K83.101	3
G61.802	3
D69.002	3
567.201	3
Z03.103	3
909.101	3
Z43.102	3
M88210/1	3
E83.401	3
054.902	3
592.002	3
L95.902	3
701.903	3
P95  01	3
H93.202	3
D33.005	3
208.003 M98010/3	3
225.204	3
173.601	3
I72.404	3
N88.101	3
323.904	3
C82.202 M96980/3	3
Q45.301	3
H02.701	3
D35.101	3
D69.901	3
271.401	3
190.201	3
E922.902	3
427.602	3
M98210/3	3
474.804	3
O66.901	3
202.816	3
527.602	3
M89000/3	3
629.901	3
A18.115+N74.101*	3
V45.101	3
T23.303	3
S05.302	3
872.001	3
G11.906	3
905.105	3
E03.101	3
M88901/1	3
D16.401	3
746.820	3
755.604	3
360.404	3
381.105	3
003.901	3
D22.401	3
571.505	3
S83.602	3
403.906	3
D47.302 M99620/1	3
443.001	3
104.901	3
M79.202	3
A19.902	3
747.205	3
C08.001	3
B49  04	3
I07.201	3
654.102	3
224.201	3
L98.410	3
598.801	3
D59.502	3
360.402	3
D03.501	3
C78.502	3
614.102	3
279.301	3
M25.611	3
Z98.876	3
210.302	3
C04.901	3
K83.809	3
686.909	3
C85.001 M95920/3	3
D32.101	3
G04.001	3
656.501	3
H21.503	3
540.104	3
753.301	3
744.302	3
D21.004	3
478.709	3
L08.901	3
565.102	3
R63.402	3
M89.892	3
L90.503	3
228.013	3
M35.903	3
754.602	3
229.802	3
720.201	3
I71.301	3
V26.001	3
S11.001	3
354.202	3
213.101	3
654.602	3
N50.813	3
V81.601	3
M86.491	3
F02.801	3
621.802	3
961.901	3
C16.902	3
T22.301	3
253.301	3
I84.202	3
Z21  02	3
410  17	3
212.004	3
M90800/3	3
T13.602	3
745.402	3
753.201	3
H43.801	3
N71.102	3
553.902	3
M62.454	3
385.802	3
Q05.801	3
G31.201	3
141.901	3
D48.716	3
E23.611	3
289.104	3
871.401	3
D31.601	3
R57.802	3
K14.803	3
S04.101	3
747.201	3
515  03	3
C92.101	3
D23.306	3
M25.661	3
K22.103	3
569.805	3
F42.001	3
N48.401	3
301.201	3
R25.101	3
641.103	3
C40.301	3
354.203	3
R30.001	3
C11.301	3
T82.001	3
372.805	3
532.402	3
969.401	3
Q61.001	3
J34.002	3
802.301	3
H47.005	3
K52.906	3
744.205	3
C85.901	3
429.402	3
M86.894	3
S13.402	3
N70.901	3
013.003+320.403*	3
C90.202	3
G58.806	3
323.802	3
212.302	3
110.501	3
615.102	3
680.601	3
562.101	3
560.301	3
593.815	3
S75.102	3
995.101	3
535.202	3
D33.304	3
354.001	3
S23.101	3
905.603	3
872.701	3
I44.305	3
K40.302	3
959.109	3
453.002	3
F39  01	3
728.101	3
I87.103	3
C79.822	3
457.801	3
M87.971	3
599.501	3
B17.202	3
878.602	3
I09.801	3
682.604	3
B37.805	3
692.910	3
S58.902	3
959.706	3
887.601	3
S53.111	3
J92.901	3
389.701	3
158.901	3
H04.602	3
H81.401	3
466.002	3
M21.171	3
K56.201	3
464.101	3
Y60.101	3
799.801	3
V45.855	3
596.201	3
755.613	3
R59.904	3
M80110/0	3
272.801	3
213.004	3
L84  01	3
871.107	3
728.903	3
C79.813	3
C43.301	3
D21.501	3
213.006	3
213.502	3
S31.403	3
J32.002	3
M84900/6	3
424.002	3
306.201	3
997.002	3
173.501	3
D16.801	3
M24.621	3
511.801	3
M86100/0	3
442.805	3
Z54.001	3
C85.922	3
D18.012	3
446.404	3
M84.121	3
G70.908	3
S92.411	3
K58.902	3
C79.103	3
726.901	3
171.301	3
Q05.701	3
R30.901	3
A39.805+M03.002*	3
O69.205	3
358.002	3
C78.301	3
G62.906	3
E23.301	3
D72.805	3
D13.501	3
362.103	3
H92.001	3
T55  01	3
290.202	3
L02.002	3
976.001	3
M31.003	3
C85.920	3
D10.901	3
D18.024	3
Q33.001	3
M13.912	3
160.901	3
O12.001	3
O35.810	3
S09.202	3
435  02	3
M79.094	3
530.805	3
S05.308	3
S31.201	3
562.003	3
Z51.126	3
O36.503	3
I83.906	3
S05.305	3
905.002	3
959.108	3
T87.303	3
K91.808	3
S82.111	3
H61.001	3
G54.002	3
Z98.857	3
N70.102	3
R22.004	3
733.903	3
036.001	3
R06.803	3
L90.505	3
H27.102	3
D21.508	3
Q55.604	3
J34.010	3
216.503	3
C91.006 M98310/3	3
755.603	3
754.601	3
931  01	3
J38.002	3
473.301	3
706.210	3
N80.201	3
D36.129	3
Q20.601	3
M95370/0	3
O00.001	3
Q24.401	3
356.904	3
907.403	3
D38.504	3
433.001	3
H90.301	3
S82.502	3
T19.101	3
729.607	3
593.811	3
E805.901	3
S79.701	3
S05.502	3
S45.301	3
871.003	3
K91.835	3
533.401	3
O68.001	3
478.703	3
T70.002	3
L27.004	3
C71.705	3
729.802	3
E950.501	3
J80 04	3
225.003	3
K74.601	3
S29.701	3
356.101	3
L28.004	3
M89640/3	3
Y85.001	3
161.002	3
738.301	3
K20  03	3
I08.901	3
I74.102	3
570  04	3
J35.804	3
Z45.001	3
D44.502	3
S13.103	3
K83.011	3
D33.003	3
286.001	3
M81700/0	3
744.103	3
729.602	3
K71.601	3
159.901	3
Q24.502	3
B30.901+H13.106*	3
719.001	3
N20.103	3
M87.051	3
M84.031	3
530.811	3
D36.116	3
T42.303	3
266.202+336.202*	3
D69.404	3
E40  01	3
W07.901	3
M90810/3	3
745.602	3
S33.701	3
K86.801	3
H49.807	3
S82.202	3
I77.104	3
M00.951	3
C92.401	3
C43.501	3
746.806	3
368.101	3
211.307	3
T85.505	3
653.102	3
S05.111	3
944.002	3
N32.803	3
533.403	3
259.902+376.201*	3
211.305	3
623.803	3
M79.391	3
I74.902	3
I89.806	3
752.701	3
S37.211	3
F44.406	3
S63.601	3
751.602	3
T93.502	3
G93.201	3
T91.103	3
I73.902	3
M88101/0	3
153.201	3
871.702	3
R04.801	3
Z51.106	3
T63.001	3
373.901	3
C76.307	3
K31.802	3
T83.303	3
M54.191	3
225.224	3
Z85.003	3
355.001	3
C41.008	3
O36.802	3
M89900/1	3
530.303	3
785.506	3
724.802	3
710.103	3
753.002	3
664.001	3
215.206	3
A49.802	3
V45.837	3
S21.903	3
M72.042	3
805.002	3
Y83.904	3
228.107	3
D12.002	3
M25.571	3
D37.601	3
386.801	3
361.904	3
255.301	3
D16.802	3
I46.001	3
L98.403	3
M62.883	3
D33.104	3
J37.002	3
774.601	3
O69.801	3
276.401	3
665.301	3
593.821	3
N48.601	3
282.201	3
E24.301	3
344.801	3
M76.301	3
208.008 M98010/3	3
743.601	3
E923.901	3
620.002	3
G58.701	3
744.301	3
G82.203	3
364.402	3
608.401	3
A48.001	3
Q89.201	3
S01.201	3
997.408	3
X47.906	3
F19.507	3
733.204	3
N47  04	3
667.102	3
M84.192	3
A49.101	3
D16.305	3
I67.601	3
696.001+713.301*	3
447.201	3
V10.901	3
T75.801	3
799.105	3
B18.203	3
700  02	3
M62.483	3
I72.004	3
355.302	3
576.401	3
574.503	3
608.101	3
862.101	3
T42.101	3
I12.901	3
S02.804	3
V02.602	3
G40.502	2
880.101	2
290.203	2
A18.035+M90.014*	2
S75.101	2
112.001	2
Q25.403	2
734  01	2
780.002	2
H53.802	2
S03.001	2
412  14	2
J01.902	2
054.703+321.401*	2
511.003	2
E942.101	2
421.004	2
H30.903	2
244.901	2
E930.303	2
C50.904	2
G97.808	2
K63.811	2
015.802	2
M98300/3	2
L71.901	2
I86.201	2
S70.001	2
M80120/3	2
I74.001	2
366.503	2
337.903	2
701.201	2
860.301	2
573.808	2
E27.802	2
414.102	2
K83.103	2
M47.921	2
T17.202	2
M93820/3	2
H44.501	2
017.813	2
608.201	2
S20.802	2
478.708	2
S36.802	2
G00.901	2
M06.961	2
216.205	2
K91.405	2
871.503	2
323.908	2
D00.101	2
M95320/0	2
O35.801	2
G71.201	2
145.002	2
J02.902	2
X20.902	2
M9422/3	2
C41.204	2
M95060/0	2
J32.909	2
K31.810	2
446.101	2
B19.904	2
I73.003	2
I33.004	2
N88.804	2
A04.702	2
K65.806	2
V45.843	2
L03.103	2
211.802	2
998.604	2
H53.104	2
921.203	2
766.001	2
E926.901	2
753.302	2
171.501	2
N48.203	2
R26.802	2
686.108	2
461.901	2
G98  01	2
430  03	2
579.901	2
M87000/0	2
250.702	2
Q51.401	2
871.102	2
M95.402	2
379.502	2
Q63.901	2
529.806	2
281.201	2
459.203	2
648.906	2
G60.001	2
T17.401	2
078.106	2
L57.402	2
C79.811	2
300.504	2
596.901	2
L02.201	2
253.002	2
G47.302	2
M67.801	2
M86500/1	2
736.301	2
T46.001	2
E88.001	2
I60.201	2
L27.101	2
K65.904	2
572.101	2
198.826	2
530.813	2
454.102	2
K27.701	2
233.401	2
I47.203	2
A04.902	2
Q31.802	2
M54.383	2
X61.906	2
537.801	2
491.903	2
K82.802	2
I23.602	2
M98660/3	2
O34.201	2
M65.941	2
620.501	2
N61  10	2
200.101	2
T78.101	2
M61.561	2
E06.502	2
230.101	2
369.701	2
410  09	2
837.101	2
457.101	2
K08.807	2
709.001	2
O41.102	2
B16.101	2
Z85.807	2
A59.003+N77.101*	2
D04.901	2
N49.204	2
G04.905	2
T06.802	2
M79.894	2
Q17.001	2
E74.001	2
N92.401	2
D10.101	2
K57.305	2
663.402	2
038.405	2
K31.001	2
D11.701	2
M97191/3	2
I25.403	2
N28.820	2
759.301	2
228.023	2
356.901	2
N50.804	2
I07.102	2
D23.303	2
K63.103	2
I82.805	2
344.604	2
596.003	2
M89900/3	2
958.701	2
M24.641	2
360.801	2
364.305	2
752.202	2
714.302	2
C49.402	2
955.601	2
S82.102	2
953.501	2
428.908	2
G47.401	2
C78.806	2
I97.812	2
D75.803	2
E23.007	2
Q76.412	2
I70.002	2
G72.303	2
E34.001	2
I50.905	2
602.101	2
787.602	2
K45.803	2
D28.101	2
210.101	2
K62.701	2
K41.302	2
774.401	2
X51.801	2
959.005	2
780.209	2
M85.051	2
746.604	2
251.801	2
C91.401 M99400/3	2
348.004	2
C85.909 M95900/3	2
590.901	2
701.901	2
K91.818	2
I49.810	2
922.201	2
K63.101	2
I77.606	2
H21.201	2
J39.803	2
D12.101	2
G96.102	2
K85  09	2
H17.801	2
905.106	2
M19.111	2
197.802	2
O11 01	2
008.410	2
K12.105	2
M98900/3	2
V55.001	2
S62.511	2
451.001	2
M90610/3	2
633.801	2
576.501	2
M85701/3	2
428.005	2
336.101	2
211.601	2
863.802	2
775.401	2
348.811	2
D12.501	2
I28.805	2
746.103	2
K85  05	2
656.101	2
733.901	2
H71  07	2
738.101	2
291.902	2
573.802	2
O99.801	2
253.003	2
B74.901	2
S85.301	2
S36.401	2
D18.005	2
471.802	2
704.001	2
H52.001	2
532.101	2
