ILL	频率
K05.103	113
K20  02	112
J06.901	112
N83.804	112
T79.604	112
136.906	112
919.601	112
989.401	112
Z51.132	112
425.407	112
O10.901	111
T81.807	111
V58.110	111
N41.001	111
573.804	111
345.801	111
300.501	111
O62.301	111
614.301	111
217  01	110
E812.901	110
N50.801	110
R04.001	109
I71.401	109
H49.001	109
427.806	108
C92.401 M98660/3	108
427.802	108
780.301	108
N81.201	108
I83.001	108
789.301	108
394.101	108
425.404	108
L03.005	108
Q21.102	108
S83.402	107
569.001	107
785.501	107
G30.901	107
K83.801	107
S96.801	107
S02.102	107
E11.102	107
Z98.816	107
S57.901	106
397.002	106
427.607	106
N72  01	106
808.801	106
R79.806	106
I49.101	106
I67.401	106
M17.902	105
C92.005 M98610/3	105
T75.402	105
927.002	105
038.903	105
Z98.832	105
J03.902	105
H43.301	105
D42.902	105
K22.802	105
S63.001	105
T04.202	105
S72.102	105
G12.206	105
C95.002 M98010/3	105
E46  02	105
S53.101	104
X09.901	104
811.001	104
056.901	104
M84900/3	104
512  01	104
331.401	104
T11.001	104
O44.001	104
D53.101	103
831.001	103
280  01	103
Z51.006	103
N83.902	103
C32.901	103
V45.851	103
585  07	102
812.001	102
239.203	102
S12.901	102
Q82.502	102
N10  03	102
786.901	102
J35.101	102
205.002 M98610/3	102
574.502	102
I49.402	102
F41.901	101
K75.401	101
D41.402	101
M85.691	101
E826.901	101
228.007	101
K65.004	101
K22.101	101
873.401	101
N84.001	101
558  01	101
862.801	101
847.201	101
K60.201	101
793.101	100
D48.602	100
N83.101	100
I47.101	100
847.202	100
733.402	100
J32.004	100
784.002	99
567.204	99
V45.852	99
K44.901	99
821.101	99
M32.105+N08.505*	99
I25.601	99
I45.103	98
S79.901	98
J94.804	98
V15.209	98
I66.902	98
V45.805	98
I62.001	97
815.101	97
986  01	97
V58.101	97
K25.501	96
I97.802	96
E78.201	96
N45.905	96
Z98.869	96
S06.902	96
M88100/0	95
Z94.501	95
576.105	95
B18.107	95
S51.904	95
V15.205	95
Q83.101	95
Z85.805	95
E11.502+I79.202*	95
945.001	95
150.501	95
Z98.814	94
S39.908	94
L92.901	94
560.801	94
Z51.115	93
348.401	93
S92.201	93
E947.902	93
K57.101	93
585  06	93
D48.302	93
724.002	93
G93.406	93
946.001	93
K80.505	93
R19.001	93
K27.503	93
O36.501	92
070.905+573.101*	92
635.901	92
L08.907	92
M82100/0	92
576.802	92
202.801	91
N21.101	91
Q28.301	91
D75.202	91
S82.804	91
N23  01	91
573.303	91
S14.301	91
I86.401	91
394.001	91
Q24.807	90
S82.212	90
472.101	90
S98.201	90
787.001	90
G93.102	90
S01.901	90
G90.902	89
I61.904	89
R57.901	89
R96.001	89
E11.001	89
M06.991	89
454.903	89
Z93.301	89
156.001	89
569.403	89
O32.401	89
O63.003	89
M53.261	88
N28.904	88
F09  01	88
518.002	88
813.101	88
M15.901	88
S64.901	88
H40.202	88
M25.561	88
E83.502	87
M77.993	87
C49.902	87
G93.002	87
S22.201	87
O44.002	87
578.101	87
V54.002	87
M19.191	86
N81.101	86
S86.201	86
S85.103	86
359.302	86
635.904	86
198.810	86
959.702	86
I15.901	85
T79.401	85
287.301	85
E87.303	84
821.203	84
J96.102	84
Q52.801	84
M25.391	84
C76.401	84
K63.901	84
I07.101	84
S52.711	83
633.102	83
D17.901	83
W01.901	83
L27.001	83
R13  01	83
N70.103	83
550.901	83
G31.903	83
K22.601	83
593.903	83
X59.801	83
I61.003	83
M46.181	83
471.901	83
155.001	82
866.001	82
T11.401	82
251.201	82
E41  01	82
T13.601	82
S55.204	82
733.802	82
K71.602	82
T13.101	82
Y57.901	82
Z51.002	81
C30.001	81
J62.801	81
410  01	81
633.101	81
189.001	81
956.301	81
K52.912	81
L50.802	81
808.201	81
643.901	81
J18.001	81
N30.901	80
C71.901	80
K75.901	80
365.202	80
K83.007	80
N28.902	80
C22.101	80
C76.501	80
F07.202	80
603.902	80
I67.103	79
N31.901	79
477.902	79
616.301	79
V15.201	79
A41.901	79
R73.902	79
M00.902	79
E88.803	79
V45.833	79
708.901	79
D43.203	79
S50.001	79
J34.103	79
C38.301	79
428.102	79
395.101	79
410  05	79
K31.825	79
I74.901	79
G80.901	78
239.201	78
706.204	78
Q76.003	78
824.601	78
O15.901	78
824.401	78
I26.901	78
S02.001	78
M80000/3	78
I25.501	78
